sheet,counter,face,attribute,value,transcriber,reviewer,note
NCC,defender-squad,front,asl:spraying-fire,no,Claude (claude-opus-5-5),Dennis Landi,NCC: range 4 not underlined (A1.22)
NCC,defender-squad,front,asl:elr-5,no,Claude (claude-opus-5-5),Dennis Landi,NCC: morale 7 not underlined (A1.23)
NCC,defender-squad,front,asl:assault-engineer,no,Claude (claude-opus-5-5),Dennis Landi,NCC: no AE superscript on the class
NCC,defender-squad,broken,broken-morale,7,Claude (claude-opus-5-5),Dennis Landi,NCC: superscript 7 after morale 7 (chart legend)
NCC,defender-squad,broken,bpv,7,Claude (claude-opus-5-5),Dennis Landi,NCC BPV column
NCC,defender-squad,broken,asl:self-rally,not-in-source,Claude (claude-opus-5-5),Dennis Landi,The chart shows no broken side (A10.63)
LCT,defender-leader,counter,kind,asl:leader,Claude (claude-opus-5-5),Dennis Landi,A18.2 Leader Creation Table
LCT,defender-leader,counter,nationality,russian,Claude (claude-opus-5-5),Dennis Landi,Assigned by the scenario: the table applies to every nationality that creates leaders
LCT,defender-leader,front,identity,not-in-source,Claude (claude-opus-5-5),Dennis Landi,The table gives no leader name
LCT,defender-leader,front,leadership,0,Claude (claude-opus-5-5),Dennis Landi,"A18.2 Leader Creation Table: leader 8-0 (dr 2,3); A10.7: morale 8, leadership DRM 0"
LCT,defender-leader,front,morale,8,Claude (claude-opus-5-5),Dennis Landi,"A18.2 Leader Creation Table: leader 8-0 (dr 2,3); A10.7: morale 8, leadership DRM 0"
LCT,defender-leader,front,asl:elr-5,not-in-source,Claude (claude-opus-5-5),Dennis Landi,The table shows no underline
LCT,defender-leader,broken,broken-morale,not-in-source,Claude (claude-opus-5-5),Dennis Landi,The table shows no broken side
LCT,defender-leader,broken,bpv,not-in-source,Claude (claude-opus-5-5),Dennis Landi,The table gives no BPV
LCT,defender-leader,broken,asl:self-rally,not-in-source,Claude (claude-opus-5-5),Dennis Landi,The table shows no broken side; A10.71 lets any broken leader attempt Self-Rally
